2022 Election SCHOOL TRUSTEE Results by Location (Vote for  9)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"300 RICHARDSON, Christopher JK
(ABC Vancouver) ",,"301 FEDORA, Aaron
(NPA) ",,,"302 CHAN-PEDLEY, Lois
(GREEN) ",,"303 THOMSON, Hilary
(Vision Vancouver) ",,,"304 MAH, Suzie
(COPE) ",,"305 TENGCO, Amanda
 ",,"306 LEUNG, Aaron
(Vision Vancouver) ",,"307 ZEIDLER, Karina
(VOTE Socialist) ",,"308 HOPKINS, Heming
 ",,"309 LITZCKE, Karin
 ",,"310 TRIGUEROS, Rocco
(COPE) ",,"311 AGGARWAL, Rahul
(NPA) ",,"312 MCARTHUR, Kera
(Vision Vancouver) ",,"313 CHIEN, Alfred
(ABC Vancouver) ",,"314 FARIDKOT, Preeti
(ABC Vancouver) ",,"315 FRASER, Janet
(GREEN) ",,"316 JUNG, Victoria
(ABC Vancouver) ",,"317 SIGURDSON, Krista
(OneCity) ",,"318 EPSTEIN, Kyla
(OneCity) ",,"319 VAUGHAN, Ashley
(NPA) ",,"320 REDDY, Jennifer
(OneCity) ",,"321 GOODINE, Nadine C
(NPA) ",,"322 SOMERS, Gavin
(OneCity) ",,"323 BROWN, Rory
(OneCity) ",,"324 LEVINE, Zelda
 ",,"325 KLJAJIC, Milan
(NPA) ",,"326 CARDWELL, Steve
(Vision Vancouver) ",,"327 POPPELL, Nick
(GREEN) ",,"328 ZHANG, Josh
(ABC Vancouver) ",,"329 WONG, Allan
(Vision Vancouver) ",,"330 ALAM, Matiul
(TEAM) ",,Total Votes
43 - Westside Baptist Church,357,"1,124",0,116,,28,,,83,,60,,,101,,27,,80,,30,,14,,23,,65,,42,,55,,141,,126,,91,,136,,64,,60,,31,,70,,29,,65,,68,,27,,32,,77,,65,,132,,122,,29,,"2,089"
44 - Scottish Cultural Centre,"1,156","3,203",8,412,,130,,,312,,223,,,320,,116,,207,,162,,87,,123,,241,,124,,186,,386,,355,,357,,392,,251,,259,,136,,292,,124,,213,,259,,127,,111,,228,,251,,363,,240,,142,,"7,129"
45 - Marpole-Oakridge Community Centre,"1,564","5,434",2,688,,148,,,329,,206,,,345,,102,,268,,119,,49,,82,,137,,203,,151,,785,,716,,346,,815,,201,,169,,165,,220,,143,,143,,180,,93,,138,,187,,192,,771,,364,,169,,"8,624"
46 - Kivan Club (Boys and Girls Clubs of South Coast BC),729,"1,803",1,146,,35,,,253,,166,,,253,,36,,157,,139,,39,,28,,228,,45,,132,,123,,133,,229,,141,,330,,329,,46,,353,,35,,291,,290,,33,,31,,183,,170,,128,,172,,75,,"4,749"
47 - Simon Fraser Elementary School,"1,375","4,037",2,381,,80,,,385,,268,,,400,,57,,256,,182,,44,,54,,332,,85,,220,,376,,379,,419,,403,,470,,454,,114,,524,,79,,428,,439,,52,,69,,299,,304,,353,,288,,126,,"8,320"
48 - Mount Pleasant Neighbourhood House,971,"2,592",1,211,,57,,,303,,164,,,364,,47,,183,,197,,47,,40,,331,,63,,160,,191,,184,,309,,211,,405,,397,,77,,439,,56,,369,,370,,45,,52,,191,,240,,174,,178,,83,,"6,138"
49 - Vancouver City Hall,"1,194","3,835",5,302,,78,,,335,,231,,,312,,44,,219,,173,,77,,38,,259,,101,,201,,293,,298,,316,,326,,375,,363,,99,,402,,88,,317,,355,,46,,71,,253,,261,,277,,223,,133,,"6,866"
50 - Creekside Community Recreation Centre,"1,648","5,469",5,513,,110,,,409,,292,,,368,,83,,296,,196,,69,,71,,282,,152,,271,,524,,506,,382,,545,,461,,446,,138,,479,,117,,408,,444,,73,,108,,355,,304,,488,,262,,166,,"9,318"
51 - Mount Pleasant Community Centre,"2,156","6,166",7,398,,98,,,722,,419,,,789,,90,,385,,416,,84,,63,,663,,106,,373,,381,,379,,644,,419,,906,,870,,121,,943,,105,,837,,830,,77,,81,,447,,555,,355,,406,,213,,"13,175"
52 - Trinity Baptist Church,596,"2,193",1,308,,64,,,95,,50,,,104,,22,,71,,31,,11,,30,,37,,81,,41,,347,,337,,82,,356,,54,,42,,60,,49,,60,,48,,55,,28,,59,,57,,52,,352,,117,,62,,"3,162"
