2022 Election PARK BOARD COMMISSIONER Results by Location  (Vote for  7)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"200 JENSEN, Scott
(ABC Vancouver) ",,"201 GIESBRECHT, Gwen
(COPE) ",,,"202 CHARRETTE, Nick
 ",,"203 DIGBY, Tom
(GREEN) ",,,"204 FRENKEL, Carla
(Vision Vancouver) ",,"205 UPTON, Jason
(NPA) ",,"206 PINOCHET-ESCUDERO, Andrea
(VOTE Socialist) ",,"207 LIVINGSTONE, Chris
(COPE) ",,"208 BARKER, Tricia
(TEAM) ",,"209 STOCKWELL, Caitlin
(OneCity) ",,"210 HOWARD, Marie-Claire
(ABC Vancouver) ",,"211 ROLLERGIRL
 ",,"212 IRWIN, John
(Vision Vancouver) ",,"213 JACKSON, Serena
(OneCity) ",,"214 CHRISTENSEN, Laura
(ABC Vancouver) ",,"215 RILEY, Tricia
(GREEN) ",,"216 VIRDI, Jas
(ABC Vancouver) ",,"217 HASSAN, Maira
(COPE) ",,"218 MENARD, Liam Murphy
 ",,"219 SEPTEMBER, Dehara
(NPA) ",,"220 ZARUDINA, Olga
(NPA) ",,"221 KIMURA, Kumi
(TEAM) ",,"222 LARSEN, Kathleen
(TEAM) ",,"223 MOLLINEAUX, Michelle
(TEAM) ",,"224 PASIN, Dave
(NPA) ",,"225 BUCKSHON, James
(TEAM) ",,"226 RIVERS, Tiyaltelut Kristen
(OneCity) ",,"227 AUDLEY, Patrick
(TEAM) ",,"228 BASTYOVANSZKY, Brennan
(ABC Vancouver) ",,"229 HAER, Angela Kate
(ABC Vancouver) ",,"230 SMITH, Tracy D
 ",,"231 CRAIG, Steven
 ",,Total Votes
49 - Vancouver City Hall,"1,194","2,185",2,339,,286,,,43,,353,,,224,,71,,165,,280,,160,,363,,307,,36,,229,,319,,311,,320,,262,,253,,55,,61,,53,,127,,151,,112,,65,,72,,341,,93,,287,,307,,70,,44,,"6,159"
50 - Creekside Community Recreation Centre,"1,648","2,931",4,610,,279,,,48,,447,,,315,,125,,181,,303,,193,,434,,540,,57,,297,,394,,581,,398,,508,,237,,109,,104,,96,,124,,167,,120,,85,,103,,410,,98,,509,,530,,92,,83,,"8,577"
51 - Mount Pleasant Community Centre,"2,156","3,480",5,482,,742,,,77,,675,,,435,,106,,397,,741,,229,,899,,392,,106,,424,,840,,421,,718,,365,,676,,84,,72,,69,,178,,180,,164,,66,,108,,877,,130,,368,,385,,109,,62,,"11,577"
52 - Trinity Baptist Church,596,"1,166",0,352,,41,,,18,,84,,,51,,53,,20,,39,,64,,43,,333,,16,,48,,37,,319,,64,,309,,36,,32,,34,,29,,57,,54,,34,,50,,30,,37,,29,,310,,346,,20,,17,,"3,006"
53 - Sir William Van Horne Elementary School,"1,030","1,774",2,544,,126,,,22,,206,,,114,,117,,54,,136,,114,,134,,489,,24,,111,,121,,473,,179,,466,,112,,43,,97,,70,,107,,86,,70,,104,,51,,123,,61,,454,,499,,53,,62,,"5,422"
54 - Jewish Community Centre of Greater Vancouver,770,"1,401",1,439,,61,,,19,,131,,,93,,96,,36,,68,,82,,95,,379,,14,,88,,60,,394,,115,,367,,46,,35,,54,,57,,71,,73,,57,,69,,40,,61,,42,,371,,397,,30,,42,,"3,982"
55 - John Norquay Elementary School,"1,596","2,726",5,778,,246,,,87,,330,,,240,,150,,145,,266,,180,,297,,657,,59,,286,,290,,657,,275,,626,,242,,76,,121,,95,,122,,110,,79,,145,,72,,252,,70,,596,,675,,89,,98,,"8,411"
56 - Renfrew Park Community Centre,"1,400","2,615",2,679,,214,,,59,,262,,,195,,140,,99,,206,,162,,227,,578,,55,,179,,222,,570,,233,,530,,190,,70,,101,,93,,132,,123,,92,,134,,67,,192,,91,,531,,580,,84,,81,,"7,171"
57 - Collingwood Neighbourhood House,"2,277","3,671",5,"1,051",,425,,,107,,495,,,443,,238,,209,,432,,293,,407,,826,,94,,442,,397,,825,,451,,752,,378,,116,,182,,169,,244,,272,,146,,206,,140,,398,,164,,712,,844,,175,,200,,"12,233"
58 - Windermere Community Secondary School,692,"1,338",5,344,,108,,,23,,130,,,76,,76,,17,,79,,76,,94,,289,,20,,106,,86,,301,,105,,283,,89,,29,,57,,48,,73,,61,,38,,60,,28,,88,,38,,276,,303,,36,,34,,"3,471"
59 - Renfrew Community Elementary School,700,"1,308",1,368,,86,,,33,,117,,,80,,84,,37,,91,,81,,87,,330,,21,,88,,77,,319,,100,,302,,82,,22,,48,,48,,65,,64,,34,,65,,36,,71,,46,,286,,333,,38,,46,,"3,585"
60 - Sir Charles Tupper Secondary School,"1,447","2,478",0,544,,321,,,44,,388,,,272,,121,,165,,304,,138,,379,,492,,51,,287,,352,,499,,383,,447,,264,,55,,76,,60,,117,,135,,97,,86,,71,,356,,72,,440,,507,,63,,65,,"7,651"
61 - General Brock Elementary School,"1,024","1,613",0,376,,235,,,26,,331,,,191,,88,,109,,217,,165,,238,,312,,51,,192,,221,,329,,318,,282,,187,,51,,62,,46,,109,,147,,99,,60,,78,,215,,81,,294,,338,,60,,47,,"5,555"
62 - Hillcrest Centre,"1,216","2,021",3,502,,251,,,34,,324,,,222,,91,,104,,222,,134,,305,,444,,42,,224,,276,,464,,295,,407,,209,,47,,54,,61,,102,,111,,99,,76,,70,,291,,70,,403,,438,,60,,38,,"6,470"
63 - Shaughnessy Elementary School,669,"1,053",2,413,,35,,,6,,93,,,42,,72,,14,,34,,115,,62,,381,,15,,51,,51,,371,,91,,348,,36,,22,,34,,36,,78,,100,,76,,51,,69,,54,,73,,363,,393,,21,,16,,"3,616"
64 - Douglas Park Community Centre,"1,692","2,847",2,649,,321,,,56,,443,,,301,,188,,175,,312,,245,,462,,563,,50,,329,,384,,585,,425,,502,,261,,72,,104,,74,,154,,192,,153,,120,,118,,422,,128,,521,,552,,71,,51,,"8,983"
